X,Y,ux,uy,,,X1,Y1,sigma_xx,sigma_yy,sigma_xy
0.66301166,0.708260374,2.40866E-05,-0.000881575,,,0.706996682,1.794841185,-21.42258777,-58.30549047,0.214489534
0.66307436,1.334881719,3.74493E-05,-0.001563074,,,0.707583261,0.091897982,-37.24991893,-87.63064395,0.800113288
0.66307436,1.334881719,3.74493E-05,-0.001563074,,,0.70809126,3.513202602,-9.429354625,-27.22629071,-0.287940824
0.663714878,1.530148997,3.99977E-05,-0.001755705,,,0.708661731,3.772050279,-7.827373752,-22.46199048,-0.304781296
0.663714878,1.530148997,3.99977E-05,-0.001755705,,,0.710782462,2.408821013,-16.75633894,-47.35227064,-0.016600925
0.664229996,0.472173583,1.7066E-05,-0.000600526,,,0.711665772,2.554474736,-15.72146259,-44.72549998,-0.066170057
0.664229996,0.472173583,1.7066E-05,-0.000600526,,,0.713726771,4.359643725,-4.192444669,-11.65207641,-0.247889084
0.664355395,1.725416274,4.17632E-05,-0.001938676,,,0.713874408,3.17228609,-11.5824982,-33.4828057,-0.23590178
0.664355395,1.725416274,4.17632E-05,-0.001938676,,,0.714357155,3.321102089,-10.63392062,-30.75498661,-0.263859314
0.664355395,1.725416274,4.17632E-05,-0.001938676,,,0.715775214,3.964537046,-6.643330936,-18.91673323,-0.30427224
0.664355395,1.725416274,4.17632E-05,-0.001938676,,,0.716185144,4.126145,-5.647272045,-15.94207049,-0.289915114
0.664355395,1.725416274,4.17632E-05,-0.001938676,,,0.719141109,4.673263977,-2.185774687,-5.918154579,-0.153413805
0.664355395,1.725416274,4.17632E-05,-0.001938676,,,0.729643927,4.905731807,-0.638100213,-1.700075305,-0.050644252
0.665448331,0.236086791,9.00596E-06,-0.000306592,,,0.74481663,0.938642217,-28.83161364,-73.22048252,0.578759382
0.665448331,0.236086791,9.00596E-06,-0.000306592,,,0.748032247,1.719339012,-22.01611085,-59.62875915,0.25968116
0.66552279,1.9147449,4.27749E-05,-0.002106703,,,0.749950059,0.03232005,-37.86890212,-88.61593787,0.861614676
0.66552279,1.9147449,4.27749E-05,-0.002106703,,,0.753545991,2.480266811,-16.23074171,-46.05879493,-0.042571642
0.666666667,0,0,0,,,0.756543865,3.246622933,-11.09868302,-32.11803621,-0.264552441
0.666666667,0,0,0,,,0.757525057,4.041669809,-6.172301502,-17.49607344,-0.315700067
0.666666667,0,0,0,,,0.771001681,4.966397113,-0.244794596,-0.60531417,-0.01962989
0.666666667,0,0,0,,,0.826380628,1.224220513,-26.1959072,-68.26266398,0.518438772
0.666690184,2.104073526,4.30828E-05,-0.002265351,,,0.827026628,1.421159094,-24.47421843,-64.83672963,0.428387502
0.666690184,2.104073526,4.30828E-05,-0.002265351,,,0.827113668,0.601228517,-32.032959,-78.96327198,0.781067534
0.667857578,2.293402153,4.27132E-05,-0.00241448,,,0.828342432,0.363121045,-34.41535655,-83.00329148,0.865025519
0.667857578,2.293402153,4.27132E-05,-0.00241448,,,0.832846022,1.999738361,-19.75529225,-54.64586271,0.16223656
0.669024973,2.482730779,4.17012E-05,-0.002553956,,,0.834023408,2.190687462,-18.30523721,-51.24249571,0.077182144
0.669024973,2.482730779,4.17012E-05,-0.002553956,,,0.837513675,2.766216228,-14.22037317,-40.87368062,-0.152035203
0.669024973,2.482730779,4.17012E-05,-0.002553956,,,0.838200566,2.958356942,-12.94007388,-37.37917997,-0.214818855
0.669024973,2.482730779,4.17012E-05,-0.002553956,,,0.840108068,3.546380961,-9.208727516,-26.6097083,-0.342776715
0.669024973,2.482730779,4.17012E-05,-0.002553956,,,0.840549087,3.746490673,-7.98061744,-22.92832274,-0.358346609
0.669024973,2.482730779,4.17012E-05,-0.002553956,,,0.842168867,4.38506018,-4.066096466,-11.18538577,-0.284769637
0.669706034,2.673240906,4.00486E-05,-0.002684432,,,0.846354578,4.627513422,-2.53405289,-6.751775523,-0.200362413
0.669706034,2.673240906,4.00486E-05,-0.002684432,,,0.866039231,1.09188201,-27.36836339,-70.53879785,0.606982572
0.670387095,2.863751033,3.78465E-05,-0.002804886,,,0.866357362,0.760070669,-30.47287169,-76.23819071,0.754857177
0.670387095,2.863751033,3.78465E-05,-0.002804886,,,0.867533834,1.547524493,-23.38186572,-62.61521526,0.389127398
0.671068156,3.05426116,3.51586E-05,-0.002915211,,,0.869200262,0.209178715,-35.98595475,-85.58451004,0.957605148
0.671068156,3.05426116,3.51586E-05,-0.002915211,,,0.872918723,1.872149871,-20.7336914,-56.89838824,0.232846337
0.671749218,3.244771287,3.2058E-05,-0.003015313,,,0.875642756,2.313934929,-17.37799589,-49.02740225,0.026812788
0.671749218,3.244771287,3.2058E-05,-0.003015313,,,0.878086259,2.639656848,-15.06902109,-43.16047919,-0.109970203
0.671749218,3.244771287,3.2058E-05,-0.003015313,,,0.879216852,4.222648223,-5.079266843,-14.16604021,-0.3371878
0.671749218,3.244771287,3.2058E-05,-0.003015313,,,0.879675468,3.084198854,-12.10899721,-35.07867057,-0.261967575
0.671749218,3.244771287,3.2058E-05,-0.003015313,,,0.880899655,3.416132159,-10.00942848,-28.99990159,-0.338926261
0.671749218,3.244771287,3.2058E-05,-0.003015313,,,0.88192001,3.879111458,-7.172514135,-20.4857136,-0.376189485
0.672186494,3.443182784,2.84673E-05,-0.003108616,,,0.888901028,4.78359467,-1.540824074,-3.912085078,-0.133130839
0.672186494,3.443182784,2.84673E-05,-0.003108616,,,0.90088846,1.027410504,-27.94199996,-71.63755516,0.663629035
0.672623771,3.64159428,2.46258E-05,-0.003190678,,,0.901050315,0.828413849,-29.80425684,-75.05493187,0.756108926
0.672623771,3.64159428,2.46258E-05,-0.003190678,,,0.903342082,1.607269227,-22.86509318,-61.55681263,0.376190143
0.673061048,3.840005777,2.06492E-05,-0.003261456,,,0.90488929,0.158991338,-36.49895752,-86.41233837,1.013301358
0.673061048,3.840005777,2.06492E-05,-0.003261456,,,0.907486344,1.8085482,-21.22236711,-58.01301925,0.275529153
0.673498325,4.038417274,1.66641E-05,-0.003320932,,,0.908294697,0.027225828,-37.88842697,-88.6258676,1.051927531
0.673498325,4.038417274,1.66641E-05,-0.003320932,,,0.911665983,2.374119584,-16.92547012,-47.93989397,0.001817944
0.673498325,4.038417274,1.66641E-05,-0.003320932,,,0.913365401,2.577145428,-15.48740999,-44.28396794,-0.087115764
0.673498325,4.038417274,1.66641E-05,-0.003320932,,,0.91404085,4.151487843,-5.520517047,-15.47343617,-0.363563864
0.673498325,4.038417274,1.66641E-05,-0.003320932,,,0.91561945,3.146818873,-11.69704618,-33.93060412,-0.289226018
0.673498325,4.038417274,1.66641E-05,-0.003320932,,,0.91643698,3.35339226,-10.39341576,-30.1482683,-0.339396127
0.677648515,4.278812956,1.20837E-05,-0.003377849,,,0.917089326,3.944086708,-6.779678975,-19.28875196,-0.387850997
0.677648515,4.278812956,1.20837E-05,-0.003377849,,,0.922591433,4.971693533,-0.304549667,-0.509817864,-0.019863782
0.681798705,4.519208637,7.90687E-06,-0.003418273,,,0.923740056,4.834698032,-1.22378652,-2.985390659,-0.108489998
0.681798705,4.519208637,7.90687E-06,-0.003418273,,,0.989847422,0.921804921,-28.87943627,-73.41622498,0.787663407
0.685948894,4.759604319,4.42584E-06,-0.003442359,,,0.992205588,1.310358355,-25.35190587,-66.70828969,0.582321891
0.685948894,4.759604319,4.42584E-06,-0.003442359,,,0.993097296,0.492290441,-33.04904899,-80.73855967,0.992743675
0.690099084,5,1.95168E-06,-0.003450342,,,0.994991881,1.701402889,-22.04131025,-59.87367005,0.365847724
0.690099084,5,1.95168E-06,-0.003450342,,,0.995748455,0.127707814,-36.80073659,-86.88996965,1.129658569
0.690099084,5,1.95168E-06,-0.003450342,,,1.002087592,2.08625089,-19.00887332,-53.06364273,0.156063134
0.690099084,5,1.95168E-06,-0.003450342,,,1.002997056,2.472994781,-16.17704492,-46.14298568,-0.042168726
0.826211024,1.029754005,4.00196E-05,-0.001242391,,,1.005517309,4.051269177,-6.140403449,-17.31451877,-0.413657057
0.826211024,1.029754005,4.00196E-05,-0.001242391,,,1.006802505,3.252087789,-11.00589361,-31.99555586,-0.344326554
